id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,model,K,C,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
2aa133ad0633,4.81,728.17,10320.1,0.089741,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:27:22,0.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e33ad0633,4.7,655.07,11026.1,0.00251019,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:39:11,0.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f33ad0633,4.89,778.28,11599.5,0.00894668,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:48:27,1,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa033ad0633,4.81,922.71,12156,0.0245163,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:58:02,1.5,0.1,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa233ad0633,4.77,838.82,12259.9,0.288645,  Preset timeout reached,100,100,100,0.95,2016-10-24 07:59:43,1,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa333ad0633,4.69,974.45,12987.8,0.584523,  Preset timeout reached,100,100,100,0.95,2016-10-24 08:11:51,1.5,0.5,0.1,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f594a021a,5.37,1547.4,10363,0.0103553,  Preset timeout reached,100,100,100,0.95,2016-10-24 10:52:13,1,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2594a021a,4.92,1779.32,10743.6,0.88058,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:09:32,1,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3594a021a,5.14,1800.99,10104.9,1.30572,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:10:41,1.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e594a021a,4.99,1462.43,12118.9,0.00120618,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:12:07,0.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0594a021a,5.09,1586.71,11076.7,0.0560076,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:13:22,1.5,0.1,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1594a021a,5.29,1684.08,14461.7,0.459424,  Preset timeout reached,100,100,100,0.95,2016-10-24 11:39:23,0.5,0.5,0.3,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f70588e3f,5.29,1681.54,10411.9,0.0159498,  Preset timeout reached,100,100,100,0.95,2016-10-24 13:57:08,1,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa270588e3f,4.89,1981.7,10085.7,0.770705,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:08:55,1,0.5,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e70588e3f,5.35,1595.17,10219.7,0.00285647,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:13:39,0.5,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa070588e3f,5.13,1748.96,11939.6,0.00891051,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:43:28,1.5,0.1,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa370588e3f,5.21,2025.17,12385.8,0.902458,  Preset timeout reached,100,100,100,0.95,2016-10-24 14:48:08,1.5,0.5,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa170588e3f,5.1,1886.75,13430.2,0.426832,  Preset timeout reached,100,100,100,0.95,2016-10-24 15:33:34,0.5,0.5,0.5,lognormal,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9fd75444c,3.46,299.47,10392.3,0.00567771,  Preset timeout reached,100,100,100,0.95,2016-10-24 16:53:02,1,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9ed75444c,3.34,274.45,10350.4,0.00441698,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:08:47,0.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2d75444c,4.14,321.42,10704.8,0.1212,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:11:35,1,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0d75444c,3.45,362.69,10614.9,0.0110164,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:43:02,1.5,0.1,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3d75444c,3.7,383.76,10824.9,0.316389,  Preset timeout reached,100,100,100,0.95,2016-10-24 17:52:49,1.5,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1d75444c,3.54,291.66,10577,0.0447812,  Preset timeout reached,100,100,100,0.95,2016-10-24 18:34:00,0.5,0.5,0.1,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f404b0f02,3.85,611.3,10710.8,0.00136638,  Preset timeout reached,100,100,100,0.95,2016-10-24 19:54:51,1,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e404b0f02,3.63,561.53,10627.9,0.000890002,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:09:02,0.5,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2404b0f02,3.89,701.97,11262.6,0.153236,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:24:06,1,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0404b0f02,3.6,790.77,10923,0.00663708,  Preset timeout reached,100,100,100,0.95,2016-10-24 20:48:26,1.5,0.1,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3404b0f02,4.08,879.72,11733,0.480281,  Preset timeout reached,100,100,100,0.95,2016-10-24 21:13:16,1.5,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1404b0f02,3.74,612.15,11182.8,0.0527408,  Preset timeout reached,100,100,100,0.95,2016-10-24 21:45:00,0.5,0.5,0.3,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f72e9e89,3.56,920.11,11094.3,0.00123974,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:03:27,1,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e72e9e89,3.76,804.73,10947.4,0.000439983,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:15:04,0.5,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa272e9e89,4.09,1061.25,11843,0.0976499,  Preset timeout reached,100,100,100,0.95,2016-10-24 23:46:37,1,0.5,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa072e9e89,3.91,1136.06,11374.1,0.00677945,  Preset timeout reached,100,100,100,0.95,2016-10-25 00:02:02,1.5,0.1,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa372e9e89,4.15,1274.28,10630.9,0.61653,  Preset timeout reached,100,100,100,0.95,2016-10-25 00:16:07,1.5,0.5,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa172e9e89,4.13,876.53,11417.7,0.0364015,  Preset timeout reached,100,100,100,0.95,2016-10-25 01:00:29,0.5,0.5,0.5,uniform,ricker,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f7cafdc4c,5.14,685.05,11063.8,0.00552673,  Preset timeout reached,100,100,100,0.95,2016-10-25 02:19:00,1,0.1,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e7cafdc4c,4.74,624.8,11185.8,0.00214132,  Preset timeout reached,100,100,100,0.95,2016-10-25 02:32:27,0.5,0.1,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa27cafdc4c,5.23,739.82,11545.9,0.164746,  Preset timeout reached,100,100,100,0.95,2016-10-25 03:10:13,1,0.5,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa07cafdc4c,4.71,724.48,11396.5,0.0103287,  Preset timeout reached,100,100,100,0.95,2016-10-25 03:22:59,1.5,0.1,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa37cafdc4c,4.89,773.3,12491.9,0.277134,  Preset timeout reached,100,100,100,0.95,2016-10-25 03:55:21,1.5,0.5,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa17cafdc4c,5.06,683.79,11414.7,0.0624717,  Preset timeout reached,100,100,100,0.95,2016-10-25 04:21:47,0.5,0.5,0.1,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f4b52578a,5.2,1534.83,10434.6,0.00684947,  Preset timeout reached,100,100,100,0.95,2016-10-25 05:24:06,1,0.1,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e4b52578a,5.28,1494.87,11781.8,0.00105916,  Preset timeout reached,100,100,100,0.95,2016-10-25 05:59:52,0.5,0.1,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa24b52578a,5.28,1699.52,10700.9,0.241484,  Preset timeout reached,100,100,100,0.95,2016-10-25 06:19:30,1,0.5,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa04b52578a,4.69,1540.34,10417.9,0.0184706,  Preset timeout reached,100,100,100,0.95,2016-10-25 06:27:34,1.5,0.1,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa34b52578a,4.81,1783.41,11839.9,0.43693,  Preset timeout reached,100,100,100,0.95,2016-10-25 07:23:55,1.5,0.5,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa14b52578a,5.14,1618.43,12213.2,0.0540076,  Preset timeout reached,100,100,100,0.95,2016-10-25 07:56:06,0.5,0.5,0.3,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f1375043d,5.17,1664.81,12276.4,0.00106295,  Preset timeout reached,100,100,100,0.95,2016-10-25 08:59:17,1,0.1,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e1375043d,4.61,1743.58,10412.5,0.00440376,  Preset timeout reached,100,100,100,0.95,2016-10-25 09:03:54,0.5,0.1,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa01375043d,5.3,1706.48,11915.2,0.00120202,  Preset timeout reached,100,100,100,0.95,2016-10-25 09:57:13,1.5,0.1,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa21375043d,4.7,1825.33,13114,0.100542,  Preset timeout reached,100,100,100,0.95,2016-10-25 10:08:12,1,0.5,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa31375043d,5.25,1952.11,12054.9,0.198071,  Preset timeout reached,100,100,100,0.95,2016-10-25 10:55:19,1.5,0.5,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa11375043d,5.06,1805.09,12832.6,0.045029,  Preset timeout reached,100,100,100,0.95,2016-10-25 11:40:20,0.5,0.5,0.5,lognormal,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f6c51d11c,3.11,273.42,10404.8,0.00568179,  Preset timeout reached,100,100,100,0.95,2016-10-25 11:55:11,1,0.1,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e6c51d11c,3.58,262.17,10346.8,0.00393147,  Preset timeout reached,100,100,100,0.95,2016-10-25 11:58:56,0.5,0.1,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa06c51d11c,3.02,279.15,10345.5,0.00720098,  Preset timeout reached,100,100,100,0.95,2016-10-25 12:52:15,1.5,0.1,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa26c51d11c,3.88,291.84,10946.9,0.102164,  Preset timeout reached,100,100,100,0.95,2016-10-25 13:14:50,1,0.5,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa36c51d11c,3.4,287.48,11074,0.192106,  Preset timeout reached,100,100,100,0.95,2016-10-25 14:03:59,1.5,0.5,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa16c51d11c,3.76,268.32,10953.7,0.0341487,  Preset timeout reached,100,100,100,0.95,2016-10-25 14:46:46,0.5,0.5,0.1,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f453f2f43,3.65,525.92,10633.7,0.00106481,  Preset timeout reached,100,100,100,0.95,2016-10-25 14:55:24,1,0.1,0.3,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e453f2f43,3.39,484.63,10596.5,0.000572224,  Preset timeout reached,100,100,100,0.95,2016-10-25 14:58:26,0.5,0.1,0.3,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0453f2f43,3.7,547.98,10689.1,0.00205099,  Preset timeout reached,100,100,100,0.95,2016-10-25 15:53:15,1.5,0.1,0.3,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2453f2f43,3.8,567.65,11063.9,0.0860717,  Preset timeout reached,100,100,100,0.95,2016-10-25 16:23:47,1,0.5,0.3,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3453f2f43,3.69,598.62,11148.2,0.155859,  Preset timeout reached,100,100,100,0.95,2016-10-25 17:14:14,1.5,0.5,0.3,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1453f2f43,3.52,516.79,11122.7,0.0287475,  Preset timeout reached,100,100,100,0.95,2016-10-25 17:56:34,0.5,0.5,0.3,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e2b9c8d62,3.96,493.54,10652.9,0.000333133,  Preset timeout reached,100,100,100,0.95,2016-10-25 17:59:25,0.5,0.1,0.5,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f2b9c8d62,3.69,675.39,10884.9,0.00117087,  Preset timeout reached,100,100,100,0.95,2016-10-25 18:00:06,1,0.1,0.5,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa02b9c8d62,3.73,790.54,11116.8,0.00190104,  Preset timeout reached,100,100,100,0.95,2016-10-25 19:01:50,1.5,0.1,0.5,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa22b9c8d62,4.02,723.35,11308,0.0719177,  Preset timeout reached,100,100,100,0.95,2016-10-25 19:37:19,1,0.5,0.5,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa32b9c8d62,3.68,839.51,11135.9,0.1081,  Preset timeout reached,100,100,100,0.95,2016-10-25 20:24:48,1.5,0.5,0.5,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa12b9c8d62,3.95,480.39,11511.6,0.0114415,  Preset timeout reached,100,100,100,0.95,2016-10-25 21:13:34,0.5,0.5,0.5,uniform,allen,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e69275b76,5,648.15,11111.3,0.001531,  Preset timeout reached,100,100,100,0.95,2016-10-25 21:15:43,0.5,0.1,0.1,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f69275b76,4.39,697.85,11280.7,0.00325581,  Preset timeout reached,100,100,100,0.95,2016-10-25 21:19:27,1,0.1,0.1,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa069275b76,5.05,712.16,11142.3,0.00471138,  Preset timeout reached,100,100,100,0.95,2016-10-25 22:19:11,1.5,0.1,0.1,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa269275b76,4.31,734.48,12467.3,0.114588,  Preset timeout reached,100,100,100,0.95,2016-10-25 23:15:58,1,0.5,0.1,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa369275b76,4.82,782.05,10046.5,0.185145,  Preset timeout reached,100,100,100,0.95,2016-10-25 23:23:35,1.5,0.5,0.1,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e1510445b,4.73,1381.95,10389.2,0.0011145,  Preset timeout reached,100,100,100,0.95,2016-10-26 00:19:37,0.5,0.1,0.3,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f1510445b,5.27,1483.91,10233,0.00292893,  Preset timeout reached,100,100,100,0.95,2016-10-26 00:21:21,1,0.1,0.3,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa169275b76,4.74,717.64,11909.8,0.0645053,  Preset timeout reached,100,100,100,0.95,2016-10-26 00:43:09,0.5,0.5,0.1,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa01510445b,4.62,1514.43,10269.9,0.00351101,  Preset timeout reached,100,100,100,0.95,2016-10-26 01:21:08,1.5,0.1,0.3,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa31510445b,5.38,1692.2,10495.2,0.786495,  Preset timeout reached,100,100,100,0.95,2016-10-26 02:29:52,1.5,0.5,0.3,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa21510445b,4.72,1664.95,13444.4,0.601107,  Preset timeout reached,100,100,100,0.95,2016-10-26 03:10:45,1,0.5,0.3,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e1ea7739f,5.22,1478.03,10108.2,0.000541786,  Preset timeout reached,100,100,100,0.95,2016-10-26 03:18:52,0.5,0.1,0.5,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f1ea7739f,5.25,1618.03,10000.8,0.00304615,  Preset timeout reached,100,100,100,0.95,2016-10-26 03:19:24,1,0.1,0.5,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa11510445b,5.19,1627.86,11442.6,0.404986,  Preset timeout reached,100,100,100,0.95,2016-10-26 04:05:00,0.5,0.5,0.3,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa01ea7739f,5.28,1649.68,12176.7,0.0037006,  Preset timeout reached,100,100,100,0.95,2016-10-26 04:55:45,1.5,0.1,0.5,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e295f003,3.62,278.66,10307.6,0.00369382,  Preset timeout reached,100,100,100,0.95,2016-10-26 06:13:19,0.5,0.1,0.1,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f295f003,3.16,280.8,10382.2,0.00467838,  Preset timeout reached,100,100,100,0.95,2016-10-26 06:15:08,1,0.1,0.1,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa21ea7739f,4.96,1918.82,10975.2,0.600349,  Preset timeout reached,100,100,100,0.95,2016-10-26 06:25:32,1,0.5,0.5,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa31ea7739f,5.02,1935.86,16818.8,0.686772,  Preset timeout reached,100,100,100,0.95,2016-10-26 07:21:35,1.5,0.5,0.5,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa11ea7739f,5.3,1804.55,12594.8,0.307655,  Preset timeout reached,100,100,100,0.95,2016-10-26 07:45:31,0.5,0.5,0.5,lognormal,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa0295f003,3.51,285.28,10330.4,0.00281793,  Preset timeout reached,100,100,100,0.95,2016-10-26 07:50:39,1.5,0.1,0.1,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e5b9973ea,3.22,507.54,10581.3,0.000154987,  Preset timeout reached,100,100,100,0.95,2016-10-26 09:12:36,0.5,0.1,0.3,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f5b9973ea,3.51,590.49,10752,0.000914385,  Preset timeout reached,100,100,100,0.95,2016-10-26 09:17:31,1,0.1,0.3,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa2295f003,3.93,312.55,10574.6,0.054734,  Preset timeout reached,100,100,100,0.95,2016-10-26 09:25:50,1,0.5,0.1,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa3295f003,3.87,301.42,10762.8,0.060723,  Preset timeout reached,100,100,100,0.95,2016-10-26 10:24:59,1.5,0.5,0.1,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa1295f003,3.58,293.42,10394.3,0.0343898,  Preset timeout reached,100,100,100,0.95,2016-10-26 10:42:43,0.5,0.5,0.1,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa05b9973ea,3.32,613.98,10749.5,0.00126919,  Preset timeout reached,100,100,100,0.95,2016-10-26 10:52:58,1.5,0.1,0.3,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e6f7e45e1,3.37,701.05,10825.6,6.64531e-05,  Preset timeout reached,100,100,100,0.95,2016-10-26 12:16:20,0.5,0.1,0.5,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f6f7e45e1,3.91,830.38,10941.7,0.000570692,  Preset timeout reached,100,100,100,0.95,2016-10-26 12:23:29,1,0.1,0.5,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9e441a077d,4.95,4,4.11,0,  target precision reached,100,100,100,0.95,2016-10-26 12:26:47,1,0.5,0.1,lognormal,ricker,0.66,NA,1e-07,20000,5000,1,1,1,0,0,0,linear,0.01
2aa25b9973ea,3.5,594.89,11083.8,0.0624998,  Preset timeout reached,100,100,100,0.95,2016-10-26 12:35:10,1,0.5,0.3,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa35b9973ea,3.74,665.59,11012.5,0.08433,  Preset timeout reached,100,100,100,0.95,2016-10-26 13:33:17,1.5,0.5,0.3,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa15b9973ea,3.86,553.2,10899.8,0.0291512,  Preset timeout reached,100,100,100,0.95,2016-10-26 13:48:43,0.5,0.5,0.3,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa06f7e45e1,3.59,852.88,11120.2,0.000687546,  Preset timeout reached,100,100,100,0.95,2016-10-26 14:02:01,1.5,0.1,0.5,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa26f7e45e1,3.76,883.98,11273.1,0.0419235,  Preset timeout reached,100,100,100,0.95,2016-10-26 15:48:12,1,0.5,0.5,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa36f7e45e1,4.29,943.67,11394.1,0.0564011,  Preset timeout reached,100,100,100,0.95,2016-10-26 16:48:28,1.5,0.5,0.5,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2aa16f7e45e1,3.89,765.94,11263.4,0.0203259,  Preset timeout reached,100,100,100,0.95,2016-10-26 17:01:20,0.5,0.5,0.5,uniform,bh,0.66,0.1,1e-07,10000,2000,1,1,1,0,0,0,none,0
2a9f441a077d,4.74,814.77,20742,0.281716,  Preset timeout reached,100,100,100,0.95,2016-10-26 18:20:01,1,0.5,0.1,lognormal,ricker,0.66,NA,1e-07,20000,5000,1,1,1,0,0,0,quadaratic,0.01
